ID,ProcCode,ServiceID,Minutes,High,Units
1,1474,21,15,30,1
2,1474,21,30,45,2
3,1474,21,45,60,3
4,1474,21,60,120,4
5,1504,10,45,120,3
7,1504,11,45,120,3
8,1504,12,30,120,2
9,1504,15,15,120,1
10,1504,20,15,30,1
11,1504,20,30,120,1
12,1504,30,30,45,2
13,1504,30,45,60,3
14,1504,30,60,120,3
15,1504,35,60,120,4
16,1504,40,60,120,4
17,1504,60,15,120,1
18,1579,90,15,30,2
19,1579,90,30,45,3
20,1579,90,45,60,4
21,1579,90,60,72,4
22,1579,90,72,90,5
23,1579,90,90,120,6
24,90791,10,45,120,3
26,90792,10,45,120,3
27,90832,30,30,120,2
28,90833,12,30,45,2
29,90833,12,45,120,2
30,90834,30,45,60,3
31,90834,30,60,120,3
32,90836,11,45,120,3
33,90846,35,60,120,4
34,90847,35,60,120,1
35,90853,40,60,120,4
36,90882,60,15,120,1
37,96372,26,15,30,1
38,96372,26,30,120,1
39,99202,20,15,120,1
40,99203,20,15,120,1
41,99204,20,15,120,2
42,99205,20,15,120,3
43,99212,15,15,120,1
44,99212,20,15,120,1
45,99213,20,15,30,1
46,99213,20,30,120,1
47,99214,20,15,120,2
48,99215,20,60,120,3
49,99401,21,15,120,1
50,99402,21,30,120,2
51,99403,21,45,120,3
52,99404,21,60,120,4
53,90832-U4,30,30,120,2
54,90833-U4,12,30,120,2
55,90834-U4,30,45,120,3
56,90836-U4,11,45,120,3
57,90846-U4,35,60,120,4
58,90847-U4,35,60,120,4
59,90853-U4,40,60,120,4
60,90882-U4,60,15,120,1
61,99202-HE,20,15,120,1
62,99203-HE,20,15,120,1
63,99204-HE,20,15,120,2
64,99205-HE,20,15,120,3
65,99212-HE,15,15,120,1
66,99212-HE,20,15,120,1
67,99213-HE,20,15,120,1
68,99214-HE,20,15,120,2
69,99215-HE,20,60,120,3
70,H2010,25,15,120,1
