client_id,Sharepoint,Region,Unit,Subunit
22314,193430,3,4,8
22313,1008033,16,20,0
22312,28595,8,6,2
22311,1008256,5,8,56
22308,16539,5,20,12
22307,212967,4,2,3
22306,31490,6,18,5
22305,274652,4,10,2
22304,569,8,8,0
22300,289681,5,8,56
22299,18920,6,1,5
22298,21534,3,8,2
22297,194033,5,1,51
22296,47187,3,8,2
22295,1008132,16,12,0
22294,194946,6,6,5
22293,1007358,3,2,2
22292,32352,1,56,0
22291,7254,5,15,55
22285,1007362,3,10,0
22284,36844,5,17,54
22283,25009,6,12,0
22282,5725,9,20,2
22281,319354,1,2,0
22280,41024,13,20,0
22279,214227,1,17,5
22278,1008131,16,27,0
22277,198885,9,9,2
22276,214804,6,4,1
22273,272861,1,14,7
22272,44407,6,17,3
22271,1006622,6,2,2
22270,215009,5,15,55
22269,241284,6,10,0
22268,52492,6,1,2
22267,1007137,9,9,0
22266,243761,1,3,2
22262,304104,5,1,51
22261,21841,1,14,0
22260,65670,9,14,0
22259,28207,9,3,0
22258,8192,1,14,5
22257,40192,5,11,1
22255,1007339,1,15,0
22254,288333,6,12,0
22253,27336,4,2,7
22252,67418,5,12,0
22251,29581,9,3,1
22247,1007357,10,5,21
22246,240811,1,2,4
22245,1008398,3,7,1
22244,198186,3,5,1
22243,35235,1,12,4
22242,195768,2,7,6
22241,275387,8,11,5
22240,293591,3,2,2
22239,62500,9,1,0
22238,1005821,1,4,0
22237,1008258,5,17,56
22236,1005348,4,17,0
22234,1008409,6,2,12
22233,323910,9,19,3
22232,27201,2,2,6
22231,241448,3,1,2
22230,34975,3,1,2
22229,289888,9,21,4
22228,277418,5,17,53
22227,1007838,2,9,7
22226,1008261,3,2,6
22225,42320,2,6,5
22223,21442,6,18,4
22222,245070,6,17,3
22221,227371,13,82,0
22220,197876,6,18,4
22219,59606,6,18,4
22218,323820,2,15,0
22216,35785,5,2,52
22215,35935,2,14,5
22214,122739,6,5,1
22213,280552,4,17,6
22212,1002837,16,13,0
22211,226895,42,54,0
22210,1007387,16,28,0
22209,326642,2,14,5
22208,228770,3,4,0
22205,18701,5,12,0
22204,1001799,13,81,0
22203,333875,2,12,9
22202,8748,6,27,0
22201,246126,5,15,0
22200,45378,3,6,2
22195,33916,13,27,0
22194,254122,6,3,0
22193,1002503,5,9,54
22192,262857,2,31,0
22191,43030,2,3,6
22189,17124,9,14,0
22188,306460,5,1,51
22187,1005730,3,10,0
22185,222453,5,19,0
22184,1007849,2,15,3
22183,196629,5,5,52
22182,261074,4,17,1
22181,16244,13,82,0
22180,283850,2,7,0
22179,1007794,9,21,3
22178,327564,16,18,0
22177,36020,4,7,0
22176,1004828,5,20,0
22165,,,,
22164,1002340,16,11,0
22163,244887,6,27,0
22161,281140,1,3,4
22160,1008155,5,9,56
22159,1001700,9,7,2
22158,13724,9,9,6
22157,1007618,2,13,0
22151,4793,5,17,56
22150,201708,3,4,8
22149,306464,5,15,54
22148,336720,2,6,5
22144,26681,3,9,1
22143,274167,5,6,58
22142,238464,4,3,2
22141,1007850,6,18,0
22140,303550,6,22,0
22139,37525,6,16,5
22138,214012,5,8,54
22137,1007839,3,4,7
22136,304553,4,1,0
