Order Number,Client ID
44389,16883
44419,16820
44419,16820
44419,16820
44419,16820
44422,10846
44422,10846
44449,18310
44450,18423
44450,18423
44450,18423
44450,18423
44450,18423
44450,18423
44450,18423
44450,18423
44450,18423
44450,18423
44450,18423
44450,18423
44450,18423
44460,12240
44462,18425
44462,18425
44462,18425
44462,18425
44462,18425
44463,3499
44509,18430
44579,18433
44579,18433
44676,17371
44677,3217
44677,3217
44678,5682
44679,5581
44680,12905
44680,12905
44681,11656
44682,18054
44682,18054
44682,18054
44682,18054
44685,8107
44687,10191
44688,14044
44688,14044
44688,14044
44689,18110
44689,18110
44690,15019
44691,5803
44692,8523
44693,5385
44694,4632
44694,4632
44694,4632
44694,4632
44696,17692
44696,17692
44696,17692
44697,18064
44697,18064
44699,18057
44699,18057
44700,18036
44700,18036
44700,18036
44700,18036
44701,14941
44703,14982
44704,8697
44704,8697
44704,8697
44707,14658
44708,16584
44709,14386
44710,6163
44712,14389
44713,12306
44713,12306
44714,13084
44714,13084
44714,13084
44715,7117
44716,17816
44716,17816
44717,14714
44718,13946
44718,13946
44719,18072
44720,14680
44720,14680
44722,3840
44723,17444
44723,17444
44723,17444
44723,17444
44724,17337
44726,2936
44727,11481
44728,17601
44729,14361
44730,16546
44731,4753
44732,11481
44733,7826
44733,7826
44734,17497
44734,17497
44735,6361
44736,15016
44737,14413
44738,18191
44738,18191
44739,10713
44740,6758
44741,18046
44741,18046
44741,18046
44741,18046
44744,9302
44744,9302
44744,9302
44745,5062
44745,5062
44746,9534
44746,9534
44747,17440
44748,11183
44748,11183
44748,11183
44749,11274
44750,11531
44750,11531
44751,16353
44752,17933
44752,17933
44752,17933
44753,6192
44755,13947
44756,17451
44756,17451
44756,17451
44756,17451
44757,10729
44757,10729
44758,9606
44760,6227
44760,6227
44760,6227
44761,14929
44762,11229
44764,7787
44768,18316
44768,18316
44770,8227
44770,8227
44771,18109
44772,7067
44773,14189
44774,18271
44774,18271
44775,16562
44776,11197
44777,6281
44778,9812
44778,9812
44779,13775
44780,8391
44781,17815
44781,17815
44781,17815
44782,18252
44782,18252
44782,18252
44783,17518
44784,18058
44785,9875
44786,17483
44787,11091
44788,17483
44789,17964
44789,17964
44790,8800
44791,18069
44792,3037
44792,3037
44793,9819
44794,17770
44795,6841
44796,10256
44796,10256
44797,17932
44798,9031
44799,5574
44800,6366
44800,6366
44801,10628
44802,10499
44803,7347
44804,7623
44805,10371
44806,9892
44807,14612
44808,18179
44809,13662
44809,13662
44809,13662
44810,17309
44810,17309
44811,3217
44812,18096
44812,18096
44814,7630
44815,2998
44815,2998
44815,2998
44815,2998
44815,2998
44816,17745
44818,18210
44818,18210
44819,8665
44820,17467
44821,16331
44821,16331
44822,11522
44823,18184
44824,13637
44824,13637
44825,4589
44826,18218
44827,3067
44828,18039
44829,17472
44830,16030
44831,18068
44831,18068
44832,18382
44832,18382
44833,11957
44834,16868
44835,18076
44835,18076
44835,18076
44835,18076
44835,18076
44836,18197
44836,18197
44836,18197
44837,17262
44837,17262
44837,17262
44837,17262
44838,17701
44838,17701
44839,13501
44839,13501
44840,16657
44842,18003
44842,18003
44842,18003
44843,9725
44843,9725
44843,9725
44844,9747
44845,14216
44846,13436
44847,6323
44848,4021
44849,7611
44850,17248
44851,8901
44852,18001
44853,9395
44853,9395
44856,5030
44856,5030
44856,5030
44857,6033
44858,18127
44858,18127
44858,18127
44858,18127
44858,18127
44858,18127
44860,9820
44861,18161
44862,12951
44863,9313
44864,17263
44864,17263
44864,17263
44866,7044
44867,18121
44867,18121
44867,18121
44867,18121
44867,18121
44870,3662
44873,5476
44874,13060
44875,13922
44877,17490
44878,8363
44878,8363
44879,7473
44880,3350
44880,3350
44880,3350
44881,14907
44882,3652
44882,3652
44882,3652
44882,3652
44883,18089
44885,18094
44886,13831
44886,13831
44886,13831
44887,18203
44888,18347
44889,16279
44891,14815
44892,11818
44893,12040
44894,17853
44894,17853
44895,18213
44896,18113
44896,18113
44897,9904
44897,9904
44900,3108
44902,13485
44902,13485
44904,14466
44904,14466
44905,18028
44907,6674
44907,6674
44908,10242
44910,5626
44910,5626
44911,3983
44914,11936
44914,11936
44916,18401
44919,5177
44920,8648
44922,10922
44924,13747
44924,13747
44925,18159
44925,18159
44928,3372
44929,18385
44929,18385
44931,13992
44931,13992
44932,11703
44932,11703
44932,11703
44933,10597
44935,5036
44935,5036
44936,14555
44937,14792
44938,12180
44938,12180
44939,10717
44940,10072
44942,8296
44943,18208
44943,18208
44943,18208
44943,18208
44943,18208
