ReturnNo,OrderNo,ReturnDate,ReturnClosed,OrderDate,ReturnCode,ProductName,PartNumber,Amount, UnitPrice ,ReturnedTotal
8679,45395,2012-12-11,2013-01-09,2012-12-04,30A,"Women's Polyester/Cotton Cargo Pants with Expandable Waistband, Standard Fit",FS7171S,1, 47.30 ,47.30
8709,45382,2012-12-14,2013-01-08,2012-12-04,30A,LS Patrol Polo Shirts-Khaki,FS688,2, 39.54 ,79.08
8709,45382,2012-12-14,2013-01-08,2012-12-04,30A,FS Stretch Fit Twill Enclosed Hat,FS330,1, 14.52 ,14.52
8720,45489,2012-12-17,2013-01-11,2012-12-05,30A,"Field Belt, Wide Basketweave",FS720,1, 19.83 ,19.83
8720,45489,2012-12-17,2013-01-11,2012-12-05,30A,Men's Poly Cotton Short Sleeve Field Shirt,FS210,2, 28.83 ,57.66
8720,45489,2012-12-17,2013-01-11,2012-12-05,30A,"Men's Polyester/Cotton Cargo Pants with Expandable Waistband, Standard Fit",FS7170S,3, 48.95 ,146.85
8720,45489,2012-12-17,2013-01-11,2012-12-05,30A,"Men's Polyester/Cotton Casual Trousers with Expandable Waistband, Standard Fit",FS7160S,1, 41.06 ,41.06
8733,31132,2012-12-18,2013-01-04,2012-02-26,30A,Unisex Rain/Wind Pants,FS392,1, 176.18 ,176.18
8743,45444,2012-12-18,2013-01-14,2012-12-04,30A,Stetson Felt Hat,FS229,1, 143.05 ,143.05
8757,45577,2012-12-20,2013-01-09,2012-12-06,30A,Unisex Wool Cruiser Coat,FS320,1, 161.98 ,161.98
8762,45955,2012-12-20,2013-01-23,2012-12-11,30A,Women's 3-Season Jacket,FS373,1, 88.31 ,88.31
8762,45955,2012-12-20,2013-01-23,2012-12-11,30A,"Men's Polyester/Cotton Cargo Pants with Expandable Waistband, Standard Fit",FS7170S,2, 48.95 ,97.90
8764,45450,2012-12-20,2013-01-22,2012-12-05,30A,Women's 3-Season Jacket,FS373,1, 88.31 ,88.31
8772,45533,2012-12-20,2013-01-04,2012-12-05,30A,Men's LE Short Sleeve Shirt,FS810,2, 48.01 ,96.02
8772,45533,2012-12-20,2013-01-04,2012-12-05,30A,Men's LE Long Sleeve Shirt,FS800,2, 51.90 ,103.80
8784,45357,2012-12-21,2013-01-02,2012-12-04,30A,"Men's Polyester/Cotton Cargo Pants with Expandable Waistband, Standard Fit",FS7170S,1, 48.95 ,48.95
8787,46046,2012-12-21,2013-01-02,2012-12-12,30A,"Men's Polyester/Cotton Cargo Pants with Expandable Waistband, Standard Fit",FS7170S,1, 48.95 ,48.95
8787,46046,2012-12-21,2013-01-02,2012-12-12,30A,"Men's 100% Cotton  Jeans with Expandable Waistband, Standard Fit",FS258S,1, 35.80 ,35.80
8790,45748,2012-12-21,2013-01-04,2012-12-07,30A,Men's Poly Cotton Long Sleeve Field Shirt,FS200,2, 29.64 ,59.28
8793,45728,2012-12-21,2013-01-07,2012-12-07,30A,Women's Fleece Top,FS365,1, 68.31 ,68.31
8794,45965,2012-12-24,2013-01-07,2012-12-11,30A,Men's Ski Jacket,FS378,1, 270.25 ,270.25
8795,45631,2012-12-24,2013-01-23,2012-12-07,30A,Men's Ski Jacket,FS378,1, 270.25 ,270.25
8795,45631,2012-12-24,2013-01-23,2012-12-07,30A,Dress Belt Wide,FS700,1, 19.75 ,19.75
8795,45631,2012-12-24,2013-01-23,2012-12-07,30A,Men's Poly Cotton Long Sleeve Field Shirt,FS200,2, 29.64 ,59.28
8796,45511,2012-12-24,2013-01-07,2012-12-05,30A,Dress Belt Narrow,FS701,1, 17.78 ,17.78
