Qty,PartID,Description,Orders_Number
1,NAC1040,NXT Accelerometer Sensor,3406169
3,NGY1044,NXT Gyro Sensor,3406169
10,NIL1046,NXT IRLink Sensor,3406170
10,NMC1034,NXT Magnetic Compass Sensor,3406170
10,NPK1056,NXT Prototyping Sensor Kit,3406170
10,NSK1042,NXT IRSeeker  V2,3406170
10,NSX2020,HiTechnic Sensor Multiplexer,3406170
16,NAC1040,NXT Accelerometer Sensor,3406170
16,NGY1044,NXT Gyro Sensor,3406170
10,IRB1005,HiTechnic Infrared Electronic Ball,3406172
200,NCO1038,NXT Color Sensor V2,3406180
200,NIL1046,NXT IRLink Sensor,3406180
1,FTCBCN,FTC IR Beacon Master,3406182
2,NGY1044,NXT Gyro Sensor,3406184
4,NAC1040,NXT Accelerometer Sensor,3406184
4,NPA1058,HiTechnic Experimenter's Kit A,3406184
8,NMC1034,NXT Magnetic Compass Sensor,3406184
26,NCO1038,NXT Color Sensor V2,3406184
5,NAC1040,NXT Accelerometer Sensor,3406187-1
5,NSK1042,NXT IRSeeker  V2,3406187-1
10,FTCBCN,FTC IR Beacon Master,3406187-1
10,NEO1048,NXT EOPD Sensor,3406187-1
10,NGY1044,NXT Gyro Sensor,3406187-1
10,NSX2020,HiTechnic Sensor Multiplexer,3406187-1
15,NMC1034,NXT Magnetic Compass Sensor,3406187-1
15,NWS1000,NXT Extended Connector Cable Set,3406187-1
30,NCO1038,NXT Color Sensor V2,3406187-1
0,NPT1050,NXT Prototype Board - Solderable,3406188-1
5,IRB1005,HiTechnic Infrared Electronic Ball,3406188-1
5,NPS1055,NXT Solderless Prototype Sensor,3406188-1
5,NTX1060,NXT Touch Sensor Multiplexer,3406188-1
8,NPA1058,HiTechnic Experimenter's Kit A,3406188-1
8,NPK1056,NXT Prototyping Sensor Kit,3406188-1
8,NSK1042,NXT IRSeeker  V2,3406188-1
10,NAC1040,NXT Accelerometer Sensor,3406188-1
10,NEO1048,NXT EOPD Sensor,3406188-1
20,NCO1038,NXT Color Sensor V2,3406188-1
35,NGY1044,NXT Gyro Sensor,3406188-1
35,NMC1034,NXT Magnetic Compass Sensor,3406188-1
200,NTX1060,NXT Touch Sensor Multiplexer,3406189
2,FTCSET,FTC IR Beacon Set Master & Slave,3406191
5,NWS1010,Extend Cable Set Pack (40 pcs),3406192
72,IRB1005,HiTechnic Infrared Electronic Ball,3406194
20,NEO1048,NXT EOPD Sensor,3406195
30,NSK1042,NXT IRSeeker  V2,3406195
500,NGY1044,NXT Gyro Sensor,3406195
10,NAC1040,NXT Accelerometer Sensor,3406196
10,NIL1046,NXT IRLink Sensor,3406196
10,NMC1034,NXT Magnetic Compass Sensor,3406196
20,NCO1038,NXT Color Sensor V2,3406196
30,NSK1042,NXT IRSeeker  V2,3406196
50,NGY1044,NXT Gyro Sensor,3406196
2,FTCSET,FTC IR Beacon Set Master & Slave,3406199
200,NAC1040,NXT Accelerometer Sensor,3406202
200,NGY1044,NXT Gyro Sensor,3406202
200,NMC1034,NXT Magnetic Compass Sensor,3406202
200,NCO1038,NXT Color Sensor V2,3406203-1
10,NWS1000,NXT Extended Connector Cable Set,3406205
20,NCO1038,NXT Color Sensor V2,3406205
400,NIR1032,NXT IR Receiver,3406206
400,NIR1032,NXT IR Receiver,3406207
10,NAC1040,NXT Accelerometer Sensor,3406209
10,NCO1038,NXT Color Sensor V2,3406209
10,NGY1044,NXT Gyro Sensor,3406209
10,NIL1046,NXT IRLink Sensor,3406209
10,NMC1034,NXT Magnetic Compass Sensor,3406209
10,NSK1042,NXT IRSeeker  V2,3406209
10,NAC1040,NXT Accelerometer Sensor,3406210
10,NGY1044,NXT Gyro Sensor,3406210
10,NIL1046,NXT IRLink Sensor,3406210
10,NSK1042,NXT IRSeeker  V2,3406210
20,NCO1038,NXT Color Sensor V2,3406210
20,NCO1038,NXT Color Sensor V2,3406213
20,NEO1048,NXT EOPD Sensor,3406213
20,NIL1046,NXT IRLink Sensor,3406213
20,NSK1042,NXT IRSeeker  V2,3406213
30,NMC1034,NXT Magnetic Compass Sensor,3406213
50,NWS1000,NXT Extended Connector Cable Set,3406213
70,NAC1040,NXT Accelerometer Sensor,3406213
72,IRB1005,HiTechnic Infrared Electronic Ball,3406214
1,FTCSLV,FTC IR Beacon Slave,3406215
25,IRB1005,HiTechnic Infrared Electronic Ball,3406216
1,NPA1058,HiTechnic Experimenter's Kit A,3406217
1,NSX2020,HiTechnic Sensor Multiplexer,3406217
1,NWS1000,NXT Extended Connector Cable Set,3406217
200,NIL1046,NXT IRLink Sensor,3406218
1,Discount,Discount,3406219
5,NMC1034,NXT Magnetic Compass Sensor,3406219
5,NSK1042,NXT IRSeeker  V2,3406219
4,NPA1058,HiTechnic Experimenter's Kit A,3406224
30,NCO1038,NXT Color Sensor V2,3406224
30,NMC1034,NXT Magnetic Compass Sensor,3406224
2,NWS1010,Extend Cable Set Pack (40 pcs),3406225
6,IRB1005,HiTechnic Infrared Electronic Ball,3406225
12,NAC1040,NXT Accelerometer Sensor,3406225
12,NGY1044,NXT Gyro Sensor,3406225
12,NIR1032,NXT IR Receiver,3406225
