DISABILITY,DISABILITY_CODE,COSTCENTER,JOBNUMBER,JOBDESCRIPTION,MONTHWORKED,YEARWORKED,HOURSWORKED,FTE
Other,4,3000,130130,NAVFAC 251 RUDYCHASE DR,6,2011,246,1.490909091
Non Disabled,3,3000,130150,NAVFAC 5803 E MOLLOY RD,6,2011,84,0.509090909
Other,4,3000,231111,CNYDDSO VARIOUS SITES,6,2011,72.75,0.440909091
Non Disabled,3,3000,233130,CENTRO 200 CORTLAND AVE,6,2011,5,0.03030303
Non Disabled,3,3000,234190,DIVMIL&NA 6900 THOMPSON RD,6,2011,26,0.157575758
Other,4,3000,330010,MAINPLUS 2260 DWYER AVE,6,2011,111,0.672727273
Mental Health,1,3100,131121,GSA 10 BROAD ST,6,2011,298,1.806060606
Mental Retardation,2,3100,131121,GSA 10 BROAD ST,6,2011,108.5,0.657575758
Mental Health,1,3100,131129,GSA 10 BROAD ST ACTIVITIES,6,2011,11,0.066666667
Mental Retardation,2,3100,131129,GSA 10 BROAD ST ACTIVITIES,6,2011,10,0.060606061
Mental Health,1,3100,131141,ARMYRESV 95 BURRSTONE RD,6,2011,105,0.636363636
Mental Retardation,2,3100,131141,ARMYRESV 95 BURRSTONE RD,6,2011,25,0.151515152
Mental Health,1,3100,131149,ARMYRESV 95 BURRSTONE RD ACTIVITIES,6,2011,25,0.151515152
Mental Retardation,2,3100,132140,AFRLRIKO 391 LINDSAY RD,6,2011,31,0.187878788
Non Disabled,3,3100,132140,AFRLRIKO 391 LINDSAY RD,6,2011,17.25,0.104545455
Other,4,3100,132140,AFRLRIKO 391 LINDSAY RD,6,2011,6.25,0.037878788
Mental Retardation,2,3100,132149,AFRLRIKO 391 LINDSAY RD ACTIVITIES,6,2011,0.5,0.003030303
Mental Retardation,2,3100,231061,DIVMIL&NA 1745 PARKWAY E,6,2011,4,0.024242424
Non Disabled,3,3100,231061,DIVMIL&NA 1745 PARKWAY E,6,2011,2.5,0.015151515
Other,4,3100,231061,DIVMIL&NA 1745 PARKWAY E,6,2011,1,0.006060606
Mental Retardation,2,3100,231111,CNYDDSO VARIOUS SITES,6,2011,56,0.339393939
Other,4,3100,231111,CNYDDSO VARIOUS SITES,6,2011,5.25,0.031818182
Mental Health,1,3100,231121,CENTRO 185 LELAND AVE,6,2011,37,0.224242424
Other,4,3100,231121,CENTRO 185 LELAND AVE,6,2011,57,0.345454545
Mental Health,1,3100,231129,CENTRO 185 LELAND AVE ACTIVITIES,6,2011,0.75,0.004545455
Mental Health,1,3100,231131,CENTRO 200 GENESEE ST,6,2011,1,0.006060606
Mental Retardation,2,3100,231131,CENTRO 200 GENESEE ST,6,2011,1.25,0.007575758
Non Disabled,3,3100,231131,CENTRO 200 GENESEE ST,6,2011,1.25,0.007575758
Other,4,3100,231131,CENTRO 200 GENESEE ST,6,2011,1.25,0.007575758
