DISABILITY,DISABILITY_CODE,COSTCENTER,JOBNUMBER,JOBDESCRIPTION,MONTHWORKED,YEARWORKED,HOURSWORKED,FTE
Blind,5,3300,233170,SUNYOSWE 200 N ONDAGA CIRCL,5,2011,34,0.2125
Mental Health,1,3000,130130,NAVFAC 251 RUDYCHASE DR,5,2011,74,0.4625
Mental Health,1,3000,130139,NAVFAC 251 RUDYCHASE DR ACTIVITIES,5,2011,7,0.04375
Mental Health,1,3100,131121,GSA 10 BROAD ST,5,2011,264.5,1.653125
Mental Health,1,3100,131141,ARMYRESV 95 BURRSTONE RD,5,2011,160,1
Mental Health,1,3100,231121,CENTRO 185 LELAND AVE,5,2011,33.75,0.2109375
Mental Health,1,3100,231129,CENTRO 185 LELAND AVE ACTIVITIES,5,2011,0.75,0.0046875
Mental Health,1,3100,231131,CENTRO 200 GENESEE ST,5,2011,1,0.00625
Mental Health,1,3100,231240,NYSDOT 1701 BROAD ST,5,2011,17.75,0.1109375
Mental Health,1,3100,231249,NYSDOT 1701 BROAD ST ACTIVITIES,5,2011,1,0.00625
Mental Health,1,3100,231271,Elizabeth Street Janitor,5,2011,47,0.29375
Mental Health,1,3100,231279,Elizabeth St DDSO - Activities,5,2011,1,0.00625
Mental Health,1,3100,231531,Marcy Day Treatment - Janitor,5,2011,74.5,0.465625
Mental Health,1,3100,231539,Marcy Day Treatment - Activities,5,2011,2.5,0.015625
Mental Health,1,3100,231541,MVPCMCPI 1213 COURT ST,5,2011,145.5,0.909375
Mental Health,1,3100,231581,ONEICOUN 121 SECOND ST,5,2011,22,0.1375
Mental Health,1,3100,231589,ONEICOUN 121 SECOND ST ACTIVITIES,5,2011,2.5,0.015625
Mental Health,1,3100,231591,ONEICOUN 6000 AIRPORT RD,5,2011,23.25,0.1453125
Mental Health,1,3100,231599,ONEICOUN 6000 AIRPORT RD ACTIVITIES,5,2011,2.366666667,0.014791667
Mental Health,1,3100,231621,OGS Marcy Janitor,5,2011,4,0.025
Mental Health,1,3100,231641,ONEICOUN 185 GENESEE ST,5,2011,30,0.1875
Mental Health,1,3100,231671,OTB Herkimer (Mohwak Street),5,2011,17.5,0.109375
Mental Health,1,3100,231679,OTB Herkimer (Mohawk St.) Activities,5,2011,0.5,0.003125
Mental Health,1,3100,231711,ONEICOUN 800 PARK AVE ,5,2011,283.5,1.771875
Mental Health,1,3100,231721,ONEICOUN 406 ELIZABETH ST,5,2011,100,0.625
Mental Health,1,3100,231821,CITYUTICA 33 ORISKANY ST W,5,2011,143.75,0.8984375
Mental Health,1,3100,231829,CITYUTICA 33 ORISKANY ST W ACTIVITIES,5,2011,7.5,0.046875
Mental Health,1,3100,231841,ONEICOUN 321 MAIN ST,5,2011,132,0.825
Mental Health,1,3100,231849,ONEICOUN 321 MAIN ST ACTIVITIES,5,2011,8,0.05
Mental Health,1,3100,331060,Gilroy Kernan Gilroy,5,2011,22,0.1375
Mental Health,1,3100,331069,Gilroy - Activities,5,2011,1.25,0.0078125
Mental Health,1,3100,331070,HERKCCC 100 RESERVOIR RD,5,2011,75,0.46875
Mental Health,1,3100,331080,Hummels,5,2011,15.5,0.096875
Mental Health,1,3100,331180,M & T Bank,5,2011,91,0.56875
Mental Health,1,3100,331189,M&T Bank - Activities,5,2011,2,0.0125
