JOBNUMBER,JOBDSC,HOURSWORKED,EARNINGS
130130,Glenville - Naval Reserve Center,0,1.42E-14
130130,NAVFAC 251 RUDYCHASE DR,1611,19358.72
130139,Glenville - Naval Reserve Center Activities,0,2.84E-14
130139,NAVFAC 251 RUDYCHASE DR ACTIVITIES,244.8166667,3751.24
130140,Glenville - Naval Reserve Center Grounds Mtc.,102.5,1211.55
130150,NAVFAC 5803 E MOLLOY RD,894,9860.11
130150,Syracuse - Naval Reserve Center,0,1.14E-13
130159,NAVFAC 5803 E MOLLOY RD ACTIVITIES,47,667.08
130159,Syracuse - Naval Reserve Center Activities,0,5.33E-15
130160,Syracuse - Naval Reserve Center Grounds Mtc.,50,594.5
130180,NAVFAC 439 PAUL RD,16.25,192.24
131121,Federal Bldg (Alexander Pirnie) - Janitor,973.25,10514
131121,GSA 10 BROAD ST,2420.25,25923.14
131129,Federal Building -  Activities,91,1265.83
131129,GSA 10 BROAD ST ACTIVITIES,189.7,2638.73
131141,ARMYRESV 95 BURRSTONE RD,679.5,7301.5
131141,Army Reserve - Elihu Root,374,3994.32
131149,ARMYRESV 95 BURRSTONE RD ACTIVITIES,68,961.78
131149,Army Reserve - Elihu Root -  Activities,15,208.65
132111,EADS Janitor,1308,13969.44
132116,EADS - S&W Labs Rate,24,245.04
132119,EADS - Activities,128.5,1787.44
132121,Rome Labs Janitor,10121.75,108453.09
132126,Rome Labs S&W Labs Rate,232,2368.72
132129,Rome Labs - Activities,927.3666667,12899.86
132140,AFRLRIKO 391 LINDSAY RD,252,2691.36
132149,AFRLRIKO 391 LINDSAY RD ACTIVITIES,14.5,201.76
134111,ARMYRESV 95 BURRSTONE RD,48.5,524.44
134111,Army Reserve Grounds Maintenance,31.25,337.86
134119,ARMYRESV 95 BURRSTONE RD ACTIVITIES,7.25,99.91
134120,AFRLSTOC 5251 BURLESON RD,229.25,2829.04
137110,GSA 15 HENRY ST BING,400,4272
137119,GSA 15 HENRY ST BING ACTIVITIES,36,500.76
231061,DIVMIL&NA 1745 PARKWAY E,35.75,328.9
231061,NYS Armory FMS6,16.5,151.8
231069,DIVMIL&NA 1745 PARKWAY E ACTIVITIES,1.5,19.08
231069,NYS ARmory FMS6 - Activities,2,25.43
231111,CNYDDSO VARIOUS SITES,270.5,2556.38
231111,DDSO Carpet Cleaning,165.25,1561.68
231119,CNYDDSO VARIOUS SITES ACTIVITIES,4,51.84
231119,DDSO Carpet Cleaning Activities,4,51.84
