JOBNUMBER,JOBDSC,HOURSWORKED,EARNINGS
130130,Glenville - Naval Reserve Center,0,0.00
130130,NAVFAC 251 RUDYCHASE DR,371,4476.48
130139,Glenville - Naval Reserve Center Activities,0,0.00
130139,NAVFAC 251 RUDYCHASE DR ACTIVITIES,74.5,1145.41
130140,Glenville - Naval Reserve Center Grounds Mtc.,102.5,1211.55
130150,NAVFAC 5803 E MOLLOY RD,190,2031.62
130150,Syracuse - Naval Reserve Center,0,0.00
130159,NAVFAC 5803 E MOLLOY RD ACTIVITIES,7,97.37
130159,Syracuse - Naval Reserve Center Activities,0,0.00
130160,Syracuse - Naval Reserve Center Grounds Mtc.,50,594.50
131121,Federal Bldg (Alexander Pirnie) - Janitor,973.25,10514.00
131121,GSA 10 BROAD ST,167,1796.00
131129,Federal Building -  Activities,91,1265.83
131129,GSA 10 BROAD ST ACTIVITIES,5,69.55
131141,Army Reserve - Elihu Root,308,3289.44
131149,Army Reserve - Elihu Root -  Activities,15,208.65
132111,EADS Janitor,416,4442.88
132119,EADS - Activities,40.5,563.36
132121,Rome Labs Janitor,3360.25,36043.03
132126,Rome Labs S&W Labs Rate,56,571.76
132129,Rome Labs - Activities,298.25,4148.76
134111,Army Reserve Grounds Maintenance,23.75,256.77
231061,NYS Armory FMS6,14.5,133.40
231069,NYS ARmory FMS6 - Activities,2,25.43
231111,DDSO Carpet Cleaning,15,141.75
231121,CENTRO 185 LELAND AVE,30,276.00
231121,CNY Bus  Of Oneida And Utica - Janitor,209.25,1925.10
231129,CNY Bus Of Oneida And Utica - Activities,24.5,311.50
231131,CENTRO 200 GENESEE ST,1.5,13.80
231139,CENTRO 200 GENESEE ST ACTIVITIES,0.25,3.18
231201,DOT Bridge Maint Janitor,65.5,661.75
231201,NYSDOT 2436 CHENANGO RD,8.75,88.41
231209,DOT Bridge Maint - Activities,5,72.68
231209,NYSDOT 2436 CHENANGO RD ACTIVITIES,1.25,18.17
231221,DOT Engineering,80.25,862.83
231229,DOT Engineering - Activities,8.5,102.00
231235,DOT Tech Lab S&W,16.75,158.30
231240,DOT Technical Services Lab,79,703.12
231240,NYSDOT 1701 BROAD ST,22,196.90
231249,DOT Technical Services Lab - Activities,3,31.11
231271,Elizabeth Street Janitor,248.5,2286.20
231275,Elizabeth Street  S&W,17,160.65
231279,Elizabeth St DDSO - Activities,13,119.80
231525,Marcy Day Treatment S&W,49,463.05
231531,Marcy Day Treatment - Janitor,362.25,3239.69
