JOBNUMBER,JOBDESCRIPTION,HEALTHWELFARE
130130,Glenville - Naval Reserve Center,992.06
130130,NAVFAC 251 RUDYCHASE DR,275.7
130139,NAVFAC 251 RUDYCHASE DR ACTIVITIES,61.64
130140,Glenville - Naval Reserve Center Grounds Mtc.,357.74
130150,NAVFAC 5803 E MOLLOY RD,117.82
130150,Syracuse - Naval Reserve Center,495.88
130160,Syracuse - Naval Reserve Center Grounds Mtc.,161.5
131121,Federal Bldg (Alexander Pirnie) - Janitor,3149.38
131121,GSA 10 BROAD ST,539.48
131141,Army Reserve - Elihu Root,994.84
132111,EADS Janitor,1343.68
132121,Rome Labs Janitor,10919.83
132126,Rome Labs S&W Labs Rate,166.32
132129,Rome Labs - Activities,6.96
134111,Army Reserve Grounds Maintenance,70.57
231061,NYS Armory FMS6,51.03
231111,DDSO Carpet Cleaning,52.65
231121,CENTRO 185 LELAND AVE,119.34
231121,CNY Bus  Of Oneida And Utica - Janitor,994.56
231129,CNY Bus Of Oneida And Utica - Activities,1.59
231131,CENTRO 200 GENESEE ST,5.28
231201,DOT Bridge Maint Janitor,328.16
231201,NYSDOT 2436 CHENANGO RD,38.78
231221,DOT Engineering,124.83
231235,DOT Tech Lab S&W,21.44
231240,DOT Technical Services Lab,239.23
231240,NYSDOT 1701 BROAD ST,29.45
231271,Elizabeth Street Janitor,112.62
231275,Elizabeth Street  S&W,0.17
231525,Marcy Day Treatment S&W,0.49
231531,Marcy Day Treatment - Janitor,915.81
231541,McPike Janitor,3855.1
231549,McPike - Actvities,6.36
231571,OC 911 - Janitor,453.07
231571,ONEICOUN 120 BASE RD ,151.46
231581,OC Cornell - Janitor,677.69
231581,ONEICOUN 121 SECOND ST,305.6
231591,OC DPW - Janitor,609.21
231591,ONEICOUN 6000 AIRPORT RD,298.56
231621,OGS Marcy Janitor,0.37
231631,OC Courthouse,4510.42
231631,ONEICOUN 200 ELIZABETH ST,1848.21
231641,OC Health Dept. 185 Genesee St.,109.8
231641,OC Health Dept. 285 Genesee St.,140.46
231641,ONEICOUN 185 GENESEE ST,109.8
231651,OC Office Bldg. (Mosley) 800 Park Ave,708.45
231651,ONEICOUN 800 PARK AVE ,266.57
231659,OC Office Bldg. (Mosley) 800 Park Ave - Activities,3.28
231671,OTB Herkimer (Mohwak Street),459.84
231679,OTB Herkimer (Mohawk St.) Activities,6.36
231711,OC Office Bldg. 800 Park Ave Utica,4576.89
231711,ONEICOUN 800 PARK AVE ,2143.63
231719,OC Office Bldg. 800 Park Ave Utica - Activities,108.58
231721,OC Health Dept. Clinic 406 Elizabeth St Utica,535.18
231721,ONEICOUN 406 ELIZABETH ST,231.61
231729,OC Health Dept Clinic 406 Elizabeth St Utica Activ,12.21
231731,OC Law Library,617.33
