DISABILITY,DISABILITY_CODE,COSTCENTER,JOBNUMBER,JOBDESCRIPTION,MONTHWORKED,YEARWORKED,HOURSWORKED,FTE
Mental Health,1,3000,130130,NAVFAC 251 RUDYCHASE DR,4,2011,22,0.1375
Mental Health,1,3000,130139,NAVFAC 251 RUDYCHASE DR ACTIVITIES,4,2011,6,0.0375
Mental Health,1,3100,131121,GSA 10 BROAD ST,4,2011,258,1.6125
Mental Health,1,3100,131129,GSA 10 BROAD ST ACTIVITIES,4,2011,36,0.225
Mental Health,1,3100,131141,ARMYRESV 95 BURRSTONE RD,4,2011,65,0.40625
Mental Health,1,3100,131141,Army Reserve - Elihu Root,4,2011,66,0.4125
Mental Health,1,3100,231121,CENTRO 185 LELAND AVE,4,2011,34.75,0.2171875
Mental Health,1,3100,231129,CENTRO 185 LELAND AVE ACTIVITIES,4,2011,0.75,0.0046875
Mental Health,1,3100,231131,CENTRO 200 GENESEE ST,4,2011,1,0.00625
Mental Health,1,3100,231240,NYSDOT 1701 BROAD ST,4,2011,20.5,0.128125
Mental Health,1,3100,231249,NYSDOT 1701 BROAD ST ACTIVITIES,4,2011,2,0.0125
Mental Health,1,3100,231271,Elizabeth Street Janitor,4,2011,45.75,0.2859375
Mental Health,1,3100,231279,Elizabeth St DDSO - Activities,4,2011,1,0.00625
Mental Health,1,3100,231531,Marcy Day Treatment - Janitor,4,2011,69.5,0.434375
Mental Health,1,3100,231539,Marcy Day Treatment - Activities,4,2011,1.5,0.009375
Mental Health,1,3100,231541,MVPCMCPI 1213 COURT ST,4,2011,75,0.46875
Mental Health,1,3100,231541,McPike Janitor,4,2011,87,0.54375
Mental Health,1,3100,231549,MVPCMCPI 1213 COURT ST ACTIVITIES,4,2011,5,0.03125
Mental Health,1,3100,231549,McPike - Actvities,4,2011,2,0.0125
Mental Health,1,3100,231581,ONEICOUN 121 SECOND ST,4,2011,26.5,0.165625
Mental Health,1,3100,231589,ONEICOUN 121 SECOND ST ACTIVITIES,4,2011,1.25,0.0078125
Mental Health,1,3100,231591,ONEICOUN 6000 AIRPORT RD,4,2011,26,0.1625
Mental Health,1,3100,231599,ONEICOUN 6000 AIRPORT RD ACTIVITIES,4,2011,2.25,0.0140625
Mental Health,1,3100,231621,OGS Marcy Janitor,4,2011,3.75,0.0234375
Mental Health,1,3100,231641,ONEICOUN 185 GENESEE ST,4,2011,60,0.375
Mental Health,1,3100,231649,ONEICOUN 185 GENESEE ST ACTIVITIES,4,2011,3.75,0.0234375
Mental Health,1,3100,231671,OTB Herkimer (Mohwak Street),4,2011,19,0.11875
Mental Health,1,3100,231711,ONEICOUN 800 PARK AVE ,4,2011,218,1.3625
Mental Health,1,3100,231719,ONEICOUN 800 PARK AVE ACTIVITIES,4,2011,24,0.15
Mental Health,1,3100,231721,ONEICOUN 406 ELIZABETH ST,4,2011,125,0.78125
Mental Health,1,3100,231821,CITYUTICA 33 ORISKANY ST W,4,2011,75,0.46875
Mental Health,1,3100,231821,Utica Court Janitor,4,2011,85,0.53125
Mental Health,1,3100,231841,ONEICOUN 321 MAIN ST,4,2011,178,1.1125
Mental Health,1,3100,231851,Utica Armory,4,2011,3,0.01875
Mental Health,1,3100,331060,Gilroy Kernan Gilroy,4,2011,26.75,0.1671875
Mental Health,1,3100,331069,Gilroy - Activities,4,2011,1,0.00625
Mental Health,1,3100,331080,Hummels,4,2011,13,0.08125
Mental Health,1,3100,331180,M & T Bank,4,2011,96,0.6
Mental Health,1,3100,331189,M&T Bank - Activities,4,2011,0.5,0.003125
Mental Health,1,3100,331200,Slocum Dickson-Utica,4,2011,160,1
Mental Health,1,3100,331209,Slocum Dickson-Utica  Activities,4,2011,10,0.0625
Mental Health,1,3100,331230,UCP Hatfield,4,2011,26.5,0.165625
Mental Health,1,3100,331300,Cornel Associates LLC @ 258 Genesee St.,4,2011,158,0.9875
Mental Health,1,3100,331309,Cornel Associates LLC @ 258 Genesee St. Activities,4,2011,12,0.075
Mental Health,1,3100,331310,Slocum Dickson-Ilion,4,2011,56.75,0.3546875
Mental Health,1,3100,331319,Slocum Dickson-Ilion Activities,4,2011,1.25,0.0078125
Mental Health,1,3100,331420,Faxton-St. Luke's Healthcare Middle Settlement Rd,4,2011,17,0.10625
Mental Health,1,3100,331510,MHC Utica,4,2011,21,0.13125
Mental Health,1,3100,331519,MHCU - Activities,4,2011,1,0.00625
Mental Health,1,3200,132121,Rome Labs Janitor,4,2011,540.5,3.378125
Mental Health,1,3200,132129,Rome Labs - Activities,4,2011,11,0.06875
Mental Health,1,3200,232041,CNYDDSO 101 W LIBERTY ST,4,2011,36,0.225
Mental Health,1,3200,232041,ONEICOUN 301 W DOMINICK ST,4,2011,44,0.275
Mental Health,1,3200,232049,CNYDDSO 101 W LIBERTY ST ACTIVITIES,4,2011,4,0.025
Mental Health,1,3200,232081,Bridge Street Day Hab,4,2011,49.5,0.309375
Mental Health,1,3200,232089,Bridge Street Day Hab - Activities,4,2011,3,0.01875
Mental Health,1,3200,232120,Delta Acres,4,2011,37.5,0.234375
Mental Health,1,3200,232129,Delta Acres Activities,4,2011,2.5,0.015625
Mental Health,1,3200,232222,Gore Road Janitor,4,2011,40.25,0.2515625
Mental Health,1,3200,232561,ONEICOUN 301 W DOMINICK ST,4,2011,63.75,0.3984375
Mental Health,1,3200,232569,ONEICOUN 301 W DOMINICK ST ACTIVITIES,4,2011,8.25,0.0515625
Mental Health,1,3200,232571,ONEICOUN 300 W DOMINICK ST,4,2011,62.5,0.390625
Mental Health,1,3200,232579,ONEICOUN 300 W DOMINICK ST ACTIVITIES,4,2011,9.5,0.059375
Mental Health,1,3200,232611,OGS Mohawk Janitor,4,2011,1.5,0.009375
Mental Health,1,3200,232671,O'Shea Janitor F/T,4,2011,70,0.4375
Mental Health,1,3200,232721,ONEICOUN 302 N JAMES ST,4,2011,42.5,0.265625
Mental Health,1,3200,232729,ONEICOUN 302 N JAMES ST ACTIVITIES,4,2011,5.5,0.034375
Mental Health,1,3200,232871,Walsh Janitor F/T,4,2011,30,0.1875
Mental Health,1,3200,232872,Walsh Janitor P/T,4,2011,76.5,0.478125
Mental Health,1,3200,232879,Walsh - Activities,4,2011,24,0.15
Mental Health,1,3200,232932,Wilson Janitor P/T,4,2011,66,0.4125
Mental Health,1,3200,232939,Wilson - Activities,4,2011,4,0.025
Mental Health,1,3200,332040,Griffiss Utility Services Corp,4,2011,6.5,0.040625
Mental Health,1,3200,332090,OTB Legends,4,2011,13,0.08125
Mental Health,1,3300,130150,NAVFAC 5803 E MOLLOY RD,4,2011,3,0.01875
Mental Health,1,3300,233130,CENTRO 200 CORTLAND AVE,4,2011,66,0.4125
Mental Health,1,3300,233160,ONONCOUN 4949 VELASKO RD,4,2011,55,0.34375
Mental Health,1,3300,233180,CENTRO 131 ALLIANCE BANK,4,2011,41,0.25625
Mental Health,1,3300,233189,CENTRO 131 ALLIANCE BANK ACTIVITIES,4,2011,6.75,0.0421875
