DISABILITY,DISABILITY_CODE,COSTCENTER,JOBNUMBER,JOBDESCRIPTION,MONTHWORKED,YEARWORKED,HOURSWORKED,FTE
Other,4,3000,130130,NAVFAC 251 RUDYCHASE DR,8,2011,162,0.939130435
Other,4,3000,130139,NAVFAC 251 RUDYCHASE DR ACTIVITIES,8,2011,54,0.313043478
Non Disabled,3,3000,130150,NAVFAC 5803 E MOLLOY RD,8,2011,128,0.742028986
Other,4,3000,132140,AFRLRIKO 391 LINDSAY RD,8,2011,1.75,0.010144928
Other,4,3000,231221,NYSDOT 2436 CHENANGO RD,8,2011,1.25,0.007246377
Non Disabled,3,3000,233130,CENTRO 200 CORTLAND AVE,8,2011,3,0.017391304
Other,4,3000,233140,NYSFAIR 581 STATE FAIR BLVD RUBBISH,8,2011,33.25,0.192753623
Non Disabled,3,3000,233144,NYSFAIR 581 STATE FAIR BLVD RUBBISH SUPV,8,2011,55.1,0.31942029
Non Disabled,3,3000,233160,ONONCOUN 4949 VELASKO RD,8,2011,4,0.023188406
Non Disabled,3,3000,234190,DIVMIL&NA 6900 THOMPSON RD,8,2011,37,0.214492754
Other,4,3000,330010,MAINPLUS 2260 DWYER AVE,8,2011,94,0.544927536
Other,4,3000,330019,MAINPLUS 2260 DWYER AVE ACTIVITIES,8,2011,20,0.115942029
Other,4,3000,331190,RESCMISS 212 RUTGER ST,8,2011,1.5,0.008695652
Other,4,3000,331480,SLOCUM 1307 CHAMPLIN AVE ,8,2011,0.75,0.004347826
Other,4,3000,331500,HTC 2260 DWYER AVE,8,2011,1,0.005797101
Mental Retardation,2,3100,130130,NAVFAC 251 RUDYCHASE DR,8,2011,30.5,0.176811594
Other,4,3100,130150,NAVFAC 5803 E MOLLOY RD,8,2011,3,0.017391304
Mental Health,1,3100,131121,GSA 10 BROAD ST,8,2011,305,1.768115942
Mental Retardation,2,3100,131121,GSA 10 BROAD ST,8,2011,104,0.602898551
Mental Health,1,3100,131129,GSA 10 BROAD ST ACTIVITIES,8,2011,17,0.098550725
Mental Retardation,2,3100,131129,GSA 10 BROAD ST ACTIVITIES,8,2011,15,0.086956522
Mental Health,1,3100,131141,ARMYRESV 95 BURRSTONE RD,8,2011,115.5,0.669565217
Mental Retardation,2,3100,132140,AFRLRIKO 391 LINDSAY RD,8,2011,41.25,0.239130435
Non Disabled,3,3100,132140,AFRLRIKO 391 LINDSAY RD,8,2011,10.5,0.060869565
Other,4,3100,132140,AFRLRIKO 391 LINDSAY RD,8,2011,8.75,0.050724638
Mental Retardation,2,3100,132149,AFRLRIKO 391 LINDSAY RD ACTIVITIES,8,2011,1.75,0.010144928
Non Disabled,3,3100,132149,AFRLRIKO 391 LINDSAY RD ACTIVITIES,8,2011,3.5,0.020289855
Mental Retardation,2,3100,231061,DIVMIL&NA 1745 PARKWAY E,8,2011,4,0.023188406
Non Disabled,3,3100,231061,DIVMIL&NA 1745 PARKWAY E,8,2011,2,0.011594203
Other,4,3100,231061,DIVMIL&NA 1745 PARKWAY E,8,2011,0.5,0.002898551
Mental Health,1,3100,231121,CENTRO 185 LELAND AVE,8,2011,27,0.156521739
Other,4,3100,231121,CENTRO 185 LELAND AVE,8,2011,50,0.289855072
Mental Health,1,3100,231129,CENTRO 185 LELAND AVE ACTIVITIES,8,2011,2.25,0.013043478
Other,4,3100,231129,CENTRO 185 LELAND AVE ACTIVITIES,8,2011,2.25,0.013043478
