DISABILITY,DISABILITY_CODE,COSTCENTER,JOBNUMBER,JOBDESCRIPTION,MONTHWORKED,YEARWORKED,HOURSWORKED,FTE
Other,4,3000,130130,NAVFAC 251 RUDYCHASE DR,10,2011,153.25,0.928787879
Other,4,3000,130139,NAVFAC 251 RUDYCHASE DR ACTIVITIES,10,2011,6,0.036363636
Non Disabled,3,3000,130150,NAVFAC 5803 E MOLLOY RD,10,2011,113,0.684848485
Other,4,3000,130150,NAVFAC 5803 E MOLLOY RD,10,2011,5.5,0.033333333
Non Disabled,3,3000,130159,NAVFAC 5803 E MOLLOY RD ACTIVITIES,10,2011,18.5,0.112121212
Other,4,3000,231111,CNYDDSO VARIOUS SITES,10,2011,48.25,0.292424242
Other,4,3000,231119,CNYDDSO VARIOUS SITES ACTIVITIES,10,2011,12.5,0.075757576
Non Disabled,3,3000,234190,DIVMIL&NA 6900 THOMPSON RD,10,2011,20,0.121212121
Other,4,3000,330010,MAINPLUS 2260 DWYER AVE,10,2011,82,0.496969697
Other,4,3000,330019,MAINPLUS 2260 DWYER AVE ACTIVITIES,10,2011,12,0.072727273
Mental Retardation,2,3100,130130,NAVFAC 251 RUDYCHASE DR,10,2011,4.25,0.025757576
Mental Health,1,3100,131121,GSA 10 BROAD ST,10,2011,247.5,1.5
Mental Retardation,2,3100,131121,GSA 10 BROAD ST,10,2011,103,0.624242424
Mental Health,1,3100,131129,GSA 10 BROAD ST ACTIVITIES,10,2011,33,0.2
Mental Retardation,2,3100,131129,GSA 10 BROAD ST ACTIVITIES,10,2011,10,0.060606061
Mental Health,1,3100,131141,ARMYRESV 95 BURRSTONE RD,10,2011,95,0.575757576
Other,4,3100,131141,ARMYRESV 95 BURRSTONE RD,10,2011,5,0.03030303
Mental Health,1,3100,131149,ARMYRESV 95 BURRSTONE RD ACTIVITIES,10,2011,10,0.060606061
Mental Retardation,2,3100,132140,AFRLRIKO 391 LINDSAY RD,10,2011,29.75,0.18030303
Non Disabled,3,3100,132140,AFRLRIKO 391 LINDSAY RD,10,2011,15.75,0.095454545
Mental Retardation,2,3100,132149,AFRLRIKO 391 LINDSAY RD ACTIVITIES,10,2011,5.25,0.031818182
Non Disabled,3,3100,132149,AFRLRIKO 391 LINDSAY RD ACTIVITIES,10,2011,1.75,0.010606061
Mental Retardation,2,3100,231061,DIVMIL&NA 1745 PARKWAY E,10,2011,4,0.024242424
Non Disabled,3,3100,231061,DIVMIL&NA 1745 PARKWAY E,10,2011,2,0.012121212
Other,4,3100,231061,DIVMIL&NA 1745 PARKWAY E,10,2011,0.5,0.003030303
Mental Retardation,2,3100,231111,CNYDDSO VARIOUS SITES,10,2011,54.5,0.33030303
Other,4,3100,231121,CENTRO 185 LELAND AVE,10,2011,59,0.357575758
Other,4,3100,231129,CENTRO 185 LELAND AVE ACTIVITIES,10,2011,10.25,0.062121212
Non Disabled,3,3100,231131,CENTRO 200 GENESEE ST,10,2011,2,0.012121212
Other,4,3100,231131,CENTRO 200 GENESEE ST,10,2011,2,0.012121212
Mental Retardation,2,3100,231201,NYSDOT 2436 CHENANGO RD,10,2011,18,0.109090909
Non Disabled,3,3100,231201,NYSDOT 2436 CHENANGO RD,10,2011,9,0.054545455
Other,4,3100,231201,NYSDOT 2436 CHENANGO RD,10,2011,1,0.006060606
Mental Retardation,2,3100,231221,NYSDOT 2436 CHENANGO RD,10,2011,17.5,0.106060606
Non Disabled,3,3100,231221,NYSDOT 2436 CHENANGO RD,10,2011,8.75,0.053030303
Mental Retardation,2,3100,231221,NYSDOT 2436 CHENANGO RD EG,10,2011,2.5,0.015151515
Non Disabled,3,3100,231221,NYSDOT 2436 CHENANGO RD EG,10,2011,1.25,0.007575758
Mental Retardation,2,3100,231229,NYSDOT 2436 CHENANGO RD ACTIVITIES,10,2011,2.5,0.015151515
Non Disabled,3,3100,231229,NYSDOT 2436 CHENANGO RD ACTIVITIES,10,2011,1.25,0.007575758
Other,4,3100,231240,NYSDOT 1701 BROAD ST,10,2011,23.5,0.142424242
Other,4,3100,231249,NYSDOT 1701 BROAD ST ACTIVITIES,10,2011,1,0.006060606
Other,4,3100,231271,CNYDDSO 120 ELIZABETH ST,10,2011,59,0.357575758
Other,4,3100,231279,CNYDDSO 120 ELIZABETH ST ACTIVITIES,10,2011,5,0.03030303
Mental Health,1,3100,231525,Marcy Day Treatment S&W,10,2011,8,0.048484848
Other,4,3100,231531,CNYDDSO 9501 RIVER RD,10,2011,89,0.539393939
Other,4,3100,231539,CNYDDSO 9501 RIVER RD ACTIVITIES,10,2011,7.5,0.045454545
Mental Retardation,2,3100,231541,MVPCMCPI 1213 COURT ST,10,2011,178.75,1.083333333
Non Disabled,3,3100,231541,MVPCMCPI 1213 COURT ST,10,2011,40,0.242424242
Other,4,3100,231541,MVPCMCPI 1213 COURT ST,10,2011,160.5,0.972727273
Mental Retardation,2,3100,231549,MVPCMCPI 1213 COURT ST ACTIVITIES,10,2011,25,0.151515152
Other,4,3100,231549,MVPCMCPI 1213 COURT ST ACTIVITIES,10,2011,8,0.048484848
Mental Health,1,3100,231571,ONEICOUN 120 BASE RD ,10,2011,1,0.006060606
Mental Retardation,2,3100,231571,ONEICOUN 120 BASE RD ,10,2011,40,0.242424242
Non Disabled,3,3100,231571,ONEICOUN 120 BASE RD ,10,2011,20,0.121212121
Other,4,3100,231571,ONEICOUN 120 BASE RD ,10,2011,14,0.084848485
Mental Retardation,2,3100,231579,ONEICOUN 120 BASE RD ACTIVITIES,10,2011,3,0.018181818
Non Disabled,3,3100,231579,ONEICOUN 120 BASE RD ACTIVITIES,10,2011,1,0.006060606
Mental Health,1,3100,231581,ONEICOUN 121 SECOND ST,10,2011,1,0.006060606
Non Disabled,3,3100,231581,ONEICOUN 121 SECOND ST,10,2011,46.5,0.281818182
Other,4,3100,231581,ONEICOUN 121 SECOND ST,10,2011,53.25,0.322727273
Non Disabled,3,3100,231589,ONEICOUN 121 SECOND ST ACTIVITIES,10,2011,6.25,0.037878788
Other,4,3100,231589,ONEICOUN 121 SECOND ST ACTIVITIES,10,2011,5,0.03030303
Mental Health,1,3100,231591,ONEICOUN 6000 AIRPORT RD,10,2011,1,0.006060606
Non Disabled,3,3100,231591,ONEICOUN 6000 AIRPORT RD,10,2011,46.5,0.281818182
Other,4,3100,231591,ONEICOUN 6000 AIRPORT RD,10,2011,52.75,0.31969697
Non Disabled,3,3100,231599,ONEICOUN 6000 AIRPORT RD ACTIVITIES,10,2011,6.25,0.037878788
Other,4,3100,231599,ONEICOUN 6000 AIRPORT RD ACTIVITIES,10,2011,5,0.03030303
Non Disabled,3,3100,231621,OGS 6325 ROUTE 291,10,2011,8,0.048484848
Other,4,3100,231621,OGS 6325 ROUTE 291,10,2011,8,0.048484848
Mental Retardation,2,3100,231631,ONEICOUN 200 ELIZABETH ST,10,2011,279,1.690909091
Non Disabled,3,3100,231631,ONEICOUN 200 ELIZABETH ST,10,2011,97.5,0.590909091
Other,4,3100,231631,ONEICOUN 200 ELIZABETH ST,10,2011,125,0.757575758
Mental Retardation,2,3100,231639,ONEICOUN 200 ELIZABETH ST ACTIVITIES,10,2011,43.5,0.263636364
Non Disabled,3,3100,231639,ONEICOUN 200 ELIZABETH ST ACTIVITIES,10,2011,38.75,0.234848485
Other,4,3100,231639,ONEICOUN 200 ELIZABETH ST ACTIVITIES,10,2011,6.25,0.037878788
Non Disabled,3,3100,231641,ONEICOUN 185 GENESEE ST,10,2011,63.75,0.386363636
Non Disabled,3,3100,231649,ONEICOUN 185 GENESEE ST ACTIVITIES,10,2011,3.75,0.022727273
Mental Health,1,3100,231711,ONEICOUN 800 PARK AVE ,10,2011,315,1.909090909
Mental Retardation,2,3100,231711,ONEICOUN 800 PARK AVE ,10,2011,255,1.545454545
Non Disabled,3,3100,231711,ONEICOUN 800 PARK AVE ,10,2011,154,0.933333333
Other,4,3100,231711,ONEICOUN 800 PARK AVE ,10,2011,675.5,4.093939394
Mental Health,1,3100,231719,ONEICOUN 800 PARK AVE ACTIVITIES,10,2011,15,0.090909091
Mental Retardation,2,3100,231719,ONEICOUN 800 PARK AVE ACTIVITIES,10,2011,20,0.121212121
Non Disabled,3,3100,231719,ONEICOUN 800 PARK AVE ACTIVITIES,10,2011,22,0.133333333
Other,4,3100,231719,ONEICOUN 800 PARK AVE ACTIVITIES,10,2011,34,0.206060606
Mental Health,1,3100,231721,ONEICOUN 406 ELIZABETH ST,10,2011,89,0.539393939
Mental Health,1,3100,231729,ONEICOUN 406 ELIZABETH ST ACTIVITIES,10,2011,5,0.03030303
Mental Health,1,3100,231731,ONEICOUN 235 ELIZABETH ST,10,2011,128.5,0.778787879
Mental Health,1,3100,231739,ONEICOUN 235 ELIZABETH ST ACTIVITIES,10,2011,22.5,0.136363636
Mental Health,1,3100,231741,ONEICOUN 200 BASE RD,10,2011,1,0.006060606
Mental Retardation,2,3100,231741,ONEICOUN 200 BASE RD,10,2011,19.5,0.118181818
Non Disabled,3,3100,231741,ONEICOUN 200 BASE RD,10,2011,9.5,0.057575758
Other,4,3100,231741,ONEICOUN 200 BASE RD,10,2011,1.5,0.009090909
Mental Retardation,2,3100,231749,ONEICOUN 200 BASE RD ACTIVITIES,10,2011,1.5,0.009090909
Non Disabled,3,3100,231749,ONEICOUN 200 BASE RD ACTIVITIES,10,2011,0.5,0.003030303
Mental Health,1,3100,231751,CDROTB 232 MOHAWK ST,10,2011,7,0.042424242
Other,4,3100,231751,CDROTB 232 MOHAWK ST,10,2011,33.5,0.203030303
Other,4,3100,231759,CDROTB 232 MOHAWK ST ACTIVITIES,10,2011,0.5,0.003030303
Mental Health,1,3100,231821,CITYUTICA 33 ORISKANY ST W,10,2011,150,0.909090909
Other,4,3100,231821,CITYUTICA 33 ORISKANY ST W,10,2011,76,0.460606061
Mental Health,1,3100,231829,CITYUTICA 33 ORISKANY ST W ACTIVITIES,10,2011,7.5,0.045454545
Other,4,3100,231829,CITYUTICA 33 ORISKANY ST W ACTIVITIES,10,2011,81,0.490909091
Mental Health,1,3100,231841,ONEICOUN 321 MAIN ST,10,2011,150.5,0.912121212
Mental Retardation,2,3100,231841,ONEICOUN 321 MAIN ST,10,2011,120.25,0.728787879
Non Disabled,3,3100,231841,ONEICOUN 321 MAIN ST,10,2011,97.75,0.592424242
Other,4,3100,231841,ONEICOUN 321 MAIN ST,10,2011,155.25,0.940909091
Mental Health,1,3100,231849,ONEICOUN 321 MAIN ST ACTIVITIES,10,2011,12.5,0.075757576
Mental Retardation,2,3100,231849,ONEICOUN 321 MAIN ST ACTIVITIES,10,2011,11.5,0.06969697
Non Disabled,3,3100,231849,ONEICOUN 321 MAIN ST ACTIVITIES,10,2011,28.75,0.174242424
Other,4,3100,231849,ONEICOUN 321 MAIN ST ACTIVITIES,10,2011,8,0.048484848
Mental Health,1,3100,231851,DIVMIL&NA 1700 PARKWAY E,10,2011,57,0.345454545
Other,4,3100,231851,DIVMIL&NA 1700 PARKWAY E,10,2011,16,0.096969697
Mental Health,1,3100,231859,DIVMIL&NA 1700 PARKWAY E ACTIVITIES,10,2011,6,0.036363636
Mental Retardation,2,3100,330010,MAINPLUS 2260 DWYER AVE,10,2011,31.5,0.190909091
Mental Retardation,2,3100,331050,MARSDEN 8379 SENECA TRN PK,10,2011,48.75,0.295454545
Non Disabled,3,3100,331050,MARSDEN 8379 SENECA TRN PK,10,2011,23.75,0.143939394
Other,4,3100,331050,MARSDEN 8379 SENECA TRN PK,10,2011,1.25,0.007575758
Mental Retardation,2,3100,331059,MARSDEN 8379 SENECA TRN PK ACTIVITIES,10,2011,3.75,0.022727273
Non Disabled,3,3100,331059,MARSDEN 8379 SENECA TRN PK ACTIVITIES,10,2011,1.25,0.007575758
