DISABILITY,DISABILITY_CODE,COSTCENTER,JOBNUMBER,JOBDESCRIPTION,MONTHWORKED,YEARWORKED,HOURSWORKED,FTE
Other,4,3000,130130,NAVFAC 251 RUDYCHASE DR,9,2011,191,1.157575758
Other,4,3000,130139,NAVFAC 251 RUDYCHASE DR ACTIVITIES,9,2011,54.31666667,0.329191919
Non Disabled,3,3000,130150,NAVFAC 5803 E MOLLOY RD,9,2011,125,0.757575758
Non Disabled,3,3000,130159,NAVFAC 5803 E MOLLOY RD ACTIVITIES,9,2011,16,0.096969697
Other,4,3000,231201,NYSDOT 2436 CHENANGO RD,9,2011,1.25,0.007575758
Other,4,3000,233140,NYSFAIR 581 STATE FAIR BLVD RUBBISH,9,2011,1,0.006060606
Non Disabled,3,3000,233144,NYSFAIR 581 STATE FAIR BLVD RUBBISH SUPV,9,2011,7.533333333,0.045656566
Non Disabled,3,3000,234190,DIVMIL&NA 6900 THOMPSON RD,9,2011,19.5,0.118181818
Other,4,3000,330010,MAINPLUS 2260 DWYER AVE,9,2011,81,0.490909091
Other,4,3000,330020,HTC 2260 DWYER AVE,9,2011,0.5,0.003030303
Other,4,3000,330029,HTC 2260 DWYER AVE ACTIVITIES,9,2011,8,0.048484848
Other,4,3000,331050,MARSDEN 8379 SENECA TRN PK,9,2011,2.5,0.015151515
Other,4,3000,331190,RESCMISS 212 RUTGER ST,9,2011,3,0.018181818
Other,4,3000,331480,SLOCUM 1307 CHAMPLIN AVE ,9,2011,1.5,0.009090909
Other,4,3000,331500,HTC 2260 DWYER AVE,9,2011,2,0.012121212
Other,4,3000,331540,M&TBANK 38 COLLEGE ST,9,2011,0.25,0.001515152
Mental Health,1,3100,131121,GSA 10 BROAD ST,9,2011,235.5,1.427272727
Mental Retardation,2,3100,131121,GSA 10 BROAD ST,9,2011,110,0.666666667
Mental Health,1,3100,131129,GSA 10 BROAD ST ACTIVITIES,9,2011,30.7,0.186060606
Mental Retardation,2,3100,131129,GSA 10 BROAD ST ACTIVITIES,9,2011,10,0.060606061
Mental Health,1,3100,131141,ARMYRESV 95 BURRSTONE RD,9,2011,80,0.484848485
Other,4,3100,131141,ARMYRESV 95 BURRSTONE RD,9,2011,21,0.127272727
Mental Health,1,3100,131149,ARMYRESV 95 BURRSTONE RD ACTIVITIES,9,2011,30,0.181818182
Mental Retardation,2,3100,132140,AFRLRIKO 391 LINDSAY RD,9,2011,37.25,0.225757576
Non Disabled,3,3100,132140,AFRLRIKO 391 LINDSAY RD,9,2011,18,0.109090909
Other,4,3100,132140,AFRLRIKO 391 LINDSAY RD,9,2011,1.75,0.010606061
Mental Retardation,2,3100,132149,AFRLRIKO 391 LINDSAY RD ACTIVITIES,9,2011,1.75,0.010606061
Mental Retardation,2,3100,231061,DIVMIL&NA 1745 PARKWAY E,9,2011,4.5,0.027272727
Non Disabled,3,3100,231061,DIVMIL&NA 1745 PARKWAY E,9,2011,2,0.012121212
Other,4,3100,231061,DIVMIL&NA 1745 PARKWAY E,9,2011,0.5,0.003030303
Mental Retardation,2,3100,231069,DIVMIL&NA 1745 PARKWAY E ACTIVITIES,9,2011,0.5,0.003030303
Mental Health,1,3100,231121,CENTRO 185 LELAND AVE,9,2011,2,0.012121212
Mental Retardation,2,3100,231121,CENTRO 185 LELAND AVE,9,2011,2,0.012121212
Other,4,3100,231121,CENTRO 185 LELAND AVE,9,2011,53.75,0.325757576
Mental Health,1,3100,231129,CENTRO 185 LELAND AVE ACTIVITIES,9,2011,1.5,0.009090909
Other,4,3100,231129,CENTRO 185 LELAND AVE ACTIVITIES,9,2011,2.25,0.013636364
Non Disabled,3,3100,231131,CENTRO 200 GENESEE ST,9,2011,1.75,0.010606061
Other,4,3100,231131,CENTRO 200 GENESEE ST,9,2011,2.75,0.016666667
Other,4,3100,231139,CENTRO 200 GENESEE ST ACTIVITIES,9,2011,6.25,0.037878788
Mental Retardation,2,3100,231201,NYSDOT 2436 CHENANGO RD,9,2011,18.75,0.113636364
Non Disabled,3,3100,231201,NYSDOT 2436 CHENANGO RD,9,2011,10.5,0.063636364
Other,4,3100,231201,NYSDOT 2436 CHENANGO RD,9,2011,8.25,0.05
Mental Retardation,2,3100,231209,NYSDOT 2436 CHENANGO RD ACTIVITIES,9,2011,3.75,0.022727273
Mental Retardation,2,3100,231221,NYSDOT 2436 CHENANGO RD,9,2011,24.25,0.146969697
Non Disabled,3,3100,231221,NYSDOT 2436 CHENANGO RD,9,2011,11.25,0.068181818
Other,4,3100,231221,NYSDOT 2436 CHENANGO RD,9,2011,5.75,0.034848485
Mental Retardation,2,3100,231229,NYSDOT 2436 CHENANGO RD ACTIVITIES,9,2011,1.25,0.007575758
Non Disabled,3,3100,231229,NYSDOT 2436 CHENANGO RD ACTIVITIES,9,2011,1.25,0.007575758
