CostCenter,JobNumber,JobDescription,FTE_Disabled,FTE_NonDisabled
3000,130130,NAVFAC 251 RUDYCHASE DR,0.86,
3000,130139,NAVFAC 251 RUDYCHASE DR ACTIVITIES,0.04,
3000,130150,NAVFAC 5803 E MOLLOY RD,0.59,
3000,130159,NAVFAC 5803 E MOLLOY RD ACTIVITIES,0.06,
3000,231111,CNYDDSO VARIOUS SITES,0.01,
3000,231160,ONEICOUN 120 AIRLINE STREET,0.03,
3000,233130,CENTRO 200 CORTLAND AVE,0.02,
3000,233180,CENTRO 131 ALLIANCE BANK,0.03,
3000,330010,MAINPLUS 2260 DWYER AVE,0.73,
3000,330019,MAINPLUS 2260 DWYER AVE ACTIVITIES,0.11,
3000,330020,HTC 2260 DWYER AVE,0.02,
3000,330030,SRNETWORK 2521 SUNSET AVE,0.01,
3000,330040,HTCMHCU 1500 GENESEE ST,0.12,
3100,131121,GSA 10 BROAD ST,2.4,
3100,131129,GSA 10 BROAD ST ACTIVITIES,0.19,
3100,131141,ARMYRESV 95 BURRSTONE RD,0.63,
3100,131149,ARMYRESV 95 BURRSTONE RD ACTIVITIES,0.03,
3100,132140,AFRLRIKO 391 LINDSAY RD,0.15,0.1
3100,231061,DIVMIL&NA 1745 PARKWAY E,0.04,0.02
3100,231121,CENTRO 185 LELAND AVE,0.54,
3100,231129,CENTRO 185 LELAND AVE ACTIVITIES,0.03,
3100,231131,CENTRO 200 GENESEE ST,0.02,
3100,231160,ONEICOUN 120 AIRLINE STREET,0.58,
3100,231201,NYSDOT 2436 CHENANGO RD BM,0.16,0.1
3100,231221,NYSDOT 2436 CHENANGO RD EG,0.19,0.09
3100,231229,NYSDOT 2436 CHENANGO RD EG ACTIVITIES,0.02,0.02
3100,231271,CNYDDSO 120 ELIZABETH ST,0.52,
3100,231279,CNYDDSO 120 ELIZABETH ST ACTIVITIES,0.03,
3100,231531,CNYDDSO 9501 RIVER RD,0.56,
3100,231539,CNYDDSO 9501 RIVER RD ACTIVITIES,0.04,
3100,231541,MVPCMCPI 1213 COURT ST,1.97,0.2
3100,231549,MVPCMCPI 1213 COURT ST ACTIVITIES,0.2,
3100,231571,ONEICOUN 120 BASE RD,0.45,0.21
3100,231579,ONEICOUN 120 BASE RD ACTIVITIES,0.01,0.01
3100,231581,ONEICOUN 121 SECOND ST,0.55,
3100,231589,ONEICOUN 121 SECOND ST ACTIVITIES,0.05,
