CostCenter,Job,Description,Disabled,Non-Disabled
3000,130130,NAVFAC 251 RUDYCHASE DR,0.95,0
3000,130139,NAVFAC 251 RUDYCHASE DR ACTIVITIES,0.21,0
3000,130150,NAVFAC 5803 E MOLLOY RD,0.38,0
3000,130159,NAVFAC 5803 E MOLLOY RD ACTIVITIES,0.05,0
3000,231111,CNYDDSO VARIOUS SITES,0.58,0
3000,231119,CNYDDSO VARIOUS SITES ACTIVITIES,0.07,0
3000,330010,MAINPLUS 2260 DWYER AVE,0.11,0
3000,330019,MAINPLUS 2260 DWYER AVE ACTIVITIES,0.07,0
3000,330020,HTC 2260 DWYER AVE,0.08,0
3000,330029,HTC 2260 DWYER AVE ACTIVITIES,0.01,0
3000,330030,SRNETWORK 2521 SUNSET AVE,0.11,0
3000,330040,HTCMHCU 1500 GENESEE ST,0.12,0
3100,131121,GSA 10 BROAD ST,2.11,0
3100,131129,GSA 10 BROAD ST ACTIVITIES,0.52,0
3100,131141,ARMYRESV 95 BURRSTONE RD,0.61,0
3100,131149,ARMYRESV 95 BURRSTONE RD ACTIVITIES,0.06,0
3100,132140,AFRLRIKO 391 LINDSAY RD,0.18,0.04
3100,132149,AFRLRIKO 391 LINDSAY RD ACTIVITIES,0.03,0
3100,231061,DIVMIL&NA 1745 PARKWAY E,0.02,0.01
3100,231069,DIVMIL&NA 1745 PARKWAY E ACTIVITIES,0.01,0
3100,231071,CNYDDSO 118 BUSINESS PARK DRIVE,0.33,0.04
3100,231079,CNYDDSO 118 BUSINESS PARK DRIVE ACTIVITIES,0.05,0
3100,231111,CNYDDSO VARIOUS SITES,0.6,0
3100,231119,CNYDDSO VARIOUS SITES ACTIVITIES,0.01,0
3100,231121,CENTRO 185 LELAND AVE,0.13,0.13
3100,231129,CENTRO 185 LELAND AVE ACTIVITIES,0.02,0.02
3100,231131,CENTRO 200 GENESEE ST,0.02,0
3100,231160,ONEICOUN 120 AIRLINE STREET,0.4,0.16
3100,231169,ONEICOUN 120 AIRLINE STREET ACTIVITIES,0.08,0.04
3100,231201,NYSDOT 2436 CHENANGO RD BM,0.09,0.02
3100,231209,NYSDOT 2436 CHENANGO RD ACTIVITIES,0.02,0
3100,231221,NYSDOT 2436 CHENANGO RD EG,0.1,0.01
3100,231229,NYSDOT 2436 CHENANGO RD EG ACTIVITIES,0.01,0
3100,231271,CNYDDSO 120 ELIZABETH ST,0.22,0.18
3100,231279,CNYDDSO 120 ELIZABETH ST ACTIVITIES,0.04,0.03
3100,231531,CNYDDSO 9501 RIVER RD,0.3,0.24
3100,231539,CNYDDSO 9501 RIVER RD ACTIVITIES,0.05,0.04
3100,231541,MVPCMCPI 1213 COURT ST,1.83,0.19
3100,231549,MVPCMCPI 1213 COURT ST ACTIVITIES,0.35,0
3100,231571,ONEICOUN 120 BASE RD,0.38,0.06
3100,231579,ONEICOUN 120 BASE RD ACTIVITIES,0.07,0
3100,231581,ONEICOUN 121 SECOND ST,0.34,0.15
3100,231589,ONEICOUN 121 SECOND ST ACTIVITIES,0.09,0.03
3100,231591,ONEICOUN 6000 AIRPORT RD,0.3,0.12
3100,231599,ONEICOUN 6000 AIRPORT RD ACTIVITIES,0.09,0.03
3100,231621,OGS 6325 ROUTE 291,0.03,0.03
3100,231631,ONEICOUN 200 ELIZABETH ST,2.5,0.8
3100,231639,ONEICOUN 200 ELIZABETH ST ACTIVITIES,0.57,0.08
3100,231711,ONEICOUN 800 PARK AVE,5.46,1.09
3100,231719,ONEICOUN 800 PARK AVE ACTIVITIES,1.24,0.19
3100,231721,ONEICOUN 406 ELIZABETH ST,0.55,0
3100,231729,ONEICOUN 406 ELIZABETH ST ACTIVITIES,0.09,0
3100,231731,ONEICOUN 235 ELIZABETH ST,0.81,0
3100,231739,ONEICOUN 235 ELIZABETH ST ACTIVITIES,0.12,0
3100,231741,ONEICOUN 200 BASE RD,0.12,0.02
3100,231749,ONEICOUN 200 BASE RD ACTIVITIES,0.02,0
