EmpNo,Job,Date,HW
2356,130130,2011-04-14T00:00:00.000000000,25.84
2356,130130,2011-07-14T00:00:00.000000000,17.77
2356,130130,2011-08-02T00:00:00.000000000,22.61
2356,130130,2011-08-05T00:00:00.000000000,25.84
2356,130130,2011-09-06T00:00:00.000000000,24.23
2356,130130,2011-09-07T00:00:00.000000000,22.61
2356,130130,2011-09-08T00:00:00.000000000,22.61
2356,130130,2011-09-09T00:00:00.000000000,32.3
2356,130130,2011-09-16T00:00:00.000000000,22.61
2356,130130,2011-09-21T00:00:00.000000000,27.46
2356,130130,2011-09-27T00:00:00.000000000,25.84
2356,130130,2011-09-28T00:00:00.000000000,27.46
2356,130130,2011-09-29T00:00:00.000000000,25.84
2356,130130,2011-09-30T00:00:00.000000000,27.46
2356,130130,2011-10-04T00:00:00.000000000,19.38
2356,130150,2011-10-03T00:00:00.000000000,17.77
2356,130180,2011-07-13T00:00:00.000000000,52.49
2356,132140,2011-08-29T00:00:00.000000000,5.66
2356,231111,2011-04-18T00:00:00.000000000,21.06
2356,231111,2011-04-19T00:00:00.000000000,22.82
2356,231111,2011-04-21T00:00:00.000000000,14.92
2356,231111,2011-04-25T00:00:00.000000000,14.04
2356,231111,2011-04-27T00:00:00.000000000,21.06
2356,231111,2011-04-28T00:00:00.000000000,17.55
2356,231111,2011-04-29T00:00:00.000000000,15.8
2356,231111,2011-05-02T00:00:00.000000000,21.06
2356,231111,2011-05-04T00:00:00.000000000,17.55
2356,231111,2011-05-05T00:00:00.000000000,21.06
2356,231111,2011-05-06T00:00:00.000000000,21.06
2356,231111,2011-05-10T00:00:00.000000000,21.06
2356,231111,2011-05-11T00:00:00.000000000,19.31
2356,231111,2011-05-12T00:00:00.000000000,21.06
2356,231111,2011-05-16T00:00:00.000000000,10.53
2356,231111,2011-05-17T00:00:00.000000000,20.19
2356,231111,2011-05-18T00:00:00.000000000,12.29
2356,231111,2011-05-19T00:00:00.000000000,19.31
2356,231111,2011-05-20T00:00:00.000000000,13.17
2356,231111,2011-05-23T00:00:00.000000000,19.31
2356,231111,2011-05-24T00:00:00.000000000,21.06
2356,231111,2011-05-25T00:00:00.000000000,15.8
2356,231111,2011-05-26T00:00:00.000000000,28.08
2356,231111,2011-05-27T00:00:00.000000000,10.53
2356,231111,2011-05-31T00:00:00.000000000,24.57
2356,231111,2011-06-01T00:00:00.000000000,15.8
2356,231111,2011-06-02T00:00:00.000000000,34.23
2356,231111,2011-06-03T00:00:00.000000000,14.04
2356,231111,2011-06-06T00:00:00.000000000,14.04
2356,231111,2011-06-07T00:00:00.000000000,21.06
2356,231111,2011-06-08T00:00:00.000000000,14.04
2356,231111,2011-06-09T00:00:00.000000000,7.02
2356,231111,2011-06-10T00:00:00.000000000,17.55
2356,231111,2011-06-13T00:00:00.000000000,24.57
2356,231111,2011-06-14T00:00:00.000000000,19.31
2356,231111,2011-06-15T00:00:00.000000000,17.55
2356,231111,2011-06-16T00:00:00.000000000,7.02
2356,231111,2011-06-17T00:00:00.000000000,17.55
2356,231111,2011-06-20T00:00:00.000000000,24.57
2356,231111,2011-06-30T00:00:00.000000000,7.02
2356,231111,2011-10-11T00:00:00.000000000,15.8
2356,231111,2011-10-12T00:00:00.000000000,21.94
2356,231111,2011-10-13T00:00:00.000000000,12.29
2356,231111,2011-10-14T00:00:00.000000000,14.04
2356,231201,2011-09-01T00:00:00.000000000,5.54
2356,231221,2011-08-29T00:00:00.000000000,1.57
2356,233140,2011-08-22T00:00:00.000000000,43.89
2356,233140,2011-08-23T00:00:00.000000000,43.89
2356,233140,2011-08-24T00:00:00.000000000,51.21
2356,233140,2011-09-09T00:00:00.000000000,4.18
2569,231631,2011-01-24T00:00:00.000000000,28.96
